; KULON PROGO;9;GIRIMULYO;1;" Jatimulyo;  Girimulyo;  Kulon Progo";68;SIAGA;SIAGA;;;;;
; KULON PROGO;;GIRIMULYO;2;" Giripurwo;  Girimulyo;  Kulon Progo";69;WASPADA;WASPADA;;;;;
; KULON PROGO;;GIRIMULYO;3;" Pendoworejo;  Girimulyo;  Kulon Progo";70;SIAGA;SIAGA;;;;;
; KULON PROGO;;GIRIMULYO;4;" Purwosari;  Girimulyo;  Kulon Progo";71;SIAGA;SIAGA;;;;;
; KULON PROGO;10;NANGGULAN;1;" Banyuroto;  Nanggulan;  Kulon Progo";72;SIAGA;SIAGA;;;;;
; KULON PROGO;;NANGGULAN;2;" Donomulyo;  Nanggulan;  Kulon Progo";73;SIAGA;SIAGA;;;;;
; KULON PROGO;;NANGGULAN;3;" Wijimulyo;  Nanggulan;  Kulon Progo";74;AMAN;AMAN;;;;;
; KULON PROGO;;NANGGULAN;4;" Tanjungharjo;  Nanggulan;  Kulon Progo";75;SIAGA;SIAGA;;;;;
; KULON PROGO;;NANGGULAN;5;" Jatisarono;  Nanggulan;  Kulon Progo";76;WASPADA;SIAGA;" Bersinar; IBM";1;;1;1
; KULON PROGO;;NANGGULAN;6;" Kembang;  Nanggulan;  Kulon Progo";77;SIAGA;SIAGA;;;;;
; KULON PROGO;11;SAMIGALUH;1;" Kebonharjo;  Samigaluh;  Kulon Progo";78;AMAN;AMAN;;;;;
; KULON PROGO;;SAMIGALUH;2;" Banjarsari;  Samigaluh;  Kulon Progo";79;AMAN;AMAN;;;;;
; KULON PROGO;;SAMIGALUH;3;" Purwoharjo;  Samigaluh;  Kulon Progo";80;AMAN;AMAN;;;;;
; KULON PROGO;;SAMIGALUH;4;" Sidoharjo;  Samigaluh;  Kulon Progo";81;AMAN;AMAN;;;;;
; KULON PROGO;;SAMIGALUH;5;" Gerbosari;  Samigaluh;  Kulon Progo";82;AMAN;AMAN;;;;;
; KULON PROGO;;SAMIGALUH;6;" Ngargosari;  Samigaluh;  Kulon Progo";83;AMAN;AMAN;;;;;
; KULON PROGO;;SAMIGALUH;7;" Pagerharjo;  Samigaluh;  Kulon Progo";84;AMAN;AMAN;;;;;
; KULON PROGO;12;KALIBAWANG;1;" Banjararum;  Kalibawang;  Kulon Progo";85;AMAN;AMAN;;;;;
; KULON PROGO;;KALIBAWANG;2;" Banjarasri;  Kalibawang;  Kulon Progo";86;AMAN;AMAN;;;;;
; KULON PROGO;;KALIBAWANG;3;" Banjarharjo;  Kalibawang;  Kulon Progo";87;AMAN;AMAN;;;;;
; KULON PROGO;;KALIBAWANG;4;" Banjaroyo;  Kalibawang;  Kulon Progo";88;AMAN;AMAN;;;;;
2; BANTUL;1;SRANDAKAN;1;" Poncosari;  Srandakan;  Bantul";89;SIAGA;SIAGA;;;;;
; BANTUL;;SRANDAKAN;2;" Trimurti;  Srandakan;  Bantul";90;SIAGA;SIAGA;;;;;
; BANTUL;2;SANDEN;1;" Gadingsari;  Sanden;  Bantul";91;SIAGA;SIAGA;;;;;
; BANTUL;;SANDEN;2;" Gadingharjo;  Sanden;  Bantul";92;AMAN;AMAN;;;;;
; BANTUL;;SANDEN;3;" Srigading;  Sanden;  Bantul";93;AMAN;AMAN;;;;;
; BANTUL;;SANDEN;4;" Murtigading;  Sanden;  Bantul";94;AMAN;AMAN;;;;;
; BANTUL;3;KRETEK;1;" Tirtomulyo;  Kretek;  Bantul";95;AMAN;AMAN;;;;;
; BANTUL;;KRETEK;2;" Parangtritis;  Kretek;  Bantul";96;WASPADA;SIAGA;" Bersinar; PSM";1;1;;1
; BANTUL;;KRETEK;3;" Donotirto;  Kretek;  Bantul";97;AMAN;AMAN;;;;;
; BANTUL;;KRETEK;4;" Tirtosari;  Kretek;  Bantul";98;AMAN;AMAN;;;;;
; BANTUL;;KRETEK;5;" Tirtohargo;  Kretek;  Bantul";99;AMAN;AMAN;;;;;
; BANTUL;4;PUNDONG;1;" Seloharjo;  Pundong;  Bantul";100;AMAN;AMAN;;;;;
; BANTUL;;PUNDONG;2;" Panjangrejo;  Pundong;  Bantul";101;AMAN;AMAN;;;;;
