id,nama_satker,parent_id,level
103,BNN Kabupaten Cianjur ,,1
176,BNN Kabupaten Donggala ,,1
192,BNN Kabupaten Gianyar ,,1
174,BNN Kabupaten Gorontalo Utara,,1
161,BNN Kabupaten Hulu Sungai Selatan,,1
162,BNN Kabupaten Hulu Sungai Utara,,1
208,BNN Kabupaten Jayapura ,,1
194,BNN Kabupaten Karangasem,,1
106,BNN Kabupaten Karawang ,,1
170,BNN Kabupaten Kepulauan Sangihe,,1
195,BNN Kabupaten Klungkung,,1
187,BNN Kabupaten Kolaka ,,1
83,BNN Kabupaten Ogan Komering Ulu Timur,,1
153,BNN Kabupaten Kotawaringin Barat ,,1
123,BNN Kabupaten Magelang,,1
145,BNN Kabupaten Mempawah ,,1
209,BNN Kabupaten Mimika ,,1
177,BNN Kabupaten Morowali ,,1
188,BNN Kabupaten Muna ,,1
133,BNN Kabupaten Nganjuk ,,1
80,BNN Kabupaten Ogan Komering Ilir,,1
143,BNN Kabupaten Pasuruan,,1
182,BNN Kabupaten Polewali Mandar,,1
178,BNN Kabupaten Poso ,,1
205,BNN Kabupaten Pulau Morotai ,,1
201,BNN Kabupaten Rote Ndao ,,1
146,BNN Kabupaten Sanggau ,,1
134,BNN Kabupaten Sidoarjo ,,1
150,BNN Kabupaten Sintang ,,1
125,BNN Kabupaten Sleman ,,1
199,BNN Kabupaten Sumbawa  ,,1
197,BNN Kabupaten Sumbawa Barat ,,1
142,BNN Kabupaten Sumenep ,,1
164,BNN Kabupaten Tabalong,,1
184,BNN Kabupaten Tana Toraja ,,1
163,BNN Kabupaten Tanah Laut,,1
180,BNN Kabupaten Tojo Una Una ,,1
135,BNN Kabupaten Trenggalek ,,1
144,BNN Kabupaten Tuban,,1
136,BNN Kabupaten Tulungagung ,,1
202,BNN Kabupaten Belu ,,1
151,BNN Kabupaten Kubu Raya ,,1
189,BNN Kota Bau-bau,,1
210,BNN Kabupaten Gorontalo,,1
204,BNN Kabupaten Halmahera Utara ,,1
120,BNN Kabupaten Temanggung ,,1
149,BNN Kabupaten Bengkayang ,,1
41,BNN Kabupaten Aceh Selatan,3,1
44,BNN Kabupaten Aceh Tamiang,3,1
