;Kabupaten Konawe;;Amonggedo;85;8;Mataiwoi;Aman
;Kabupaten Konawe;;Amonggedo;86;9;Mendikonu;Aman
;Kabupaten Konawe;;Amonggedo;87;10;Puasana;Aman
;Kabupaten Konawe;;Amonggedo;88;11;Ulu Benua;Aman
;Kabupaten Konawe;;Amonggedo;89;12;Warandete;Aman
;Kabupaten Konawe;;Amonggedo;90;13;Watulawu;Aman
;Kabupaten Konawe;;Amonggedo;91;14;Wawohine;Aman
;Kabupaten Konawe;;Amonggedo;92;15;Amonggedo Baru;Aman
;Kabupaten Konawe;3;Anggaberi;93;1;Lerehoma;Aman
;Kabupaten Konawe;;Anggaberi;94;2;Wunduongohi;Aman
;Kabupaten Konawe;;Anggaberi;95;3;Andabia;Aman
;Kabupaten Konawe;;Anggaberi;96;4;Anggaberi;Aman
;Kabupaten Konawe;;Anggaberi;97;5;Lawulo;Aman
;Kabupaten Konawe;;Anggaberi;98;6;Parauna;Aman
;Kabupaten Konawe;;Anggaberi;99;7;Toriki;Aman
;Kabupaten Konawe;;Anggaberi;100;8;Unaasi;Aman
;Kabupaten Konawe;4;Anggalomoare;101;1;Abelisawah;Aman
;Kabupaten Konawe;;Anggalomoare;102;2;Andobeu Jaya;Aman
;Kabupaten Konawe;;Anggalomoare;103;3;Anggalomoare;Aman
;Kabupaten Konawe;;Anggalomoare;104;4;Anggalomoare Jaya;Aman
;Kabupaten Konawe;;Anggalomoare;105;5;Galu;Aman
;Kabupaten Konawe;;Anggalomoare;106;6;Lakomea;Aman
;Kabupaten Konawe;;Anggalomoare;107;7;Lasoso;Aman
;Kabupaten Konawe;;Anggalomoare;108;8;Pusawa Jaya;Aman
;Kabupaten Konawe;;Anggalomoare;109;9;Puusangi;Aman
;Kabupaten Konawe;;Anggalomoare;110;10;Tabanggele;Aman
;Kabupaten Konawe;5;Anggotoa;111;1;Analahumbuti;Aman
;Kabupaten Konawe;;Anggotoa;112;2;Anaosu;Aman
;Kabupaten Konawe;;Anggotoa;113;3;Anggotoa;Aman
;Kabupaten Konawe;;Anggotoa;114;4;Karandu;Aman
;Kabupaten Konawe;;Anggotoa;115;5;Korumba;Aman
;Kabupaten Konawe;;Anggotoa;116;6;Kukuluri;Aman
;Kabupaten Konawe;;Anggotoa;117;7;Laloato;Aman
;Kabupaten Konawe;;Anggotoa;118;8;Lawuka;Aman
;Kabupaten Konawe;;Anggotoa;119;9;Manggialo;Aman
;Kabupaten Konawe;;Anggotoa;120;10;Nario Indah;Aman
;Kabupaten Konawe;;Anggotoa;121;11;Tonganggura;Aman
;Kabupaten Konawe;;Anggotoa;122;12;Ulu Lamokuni;Aman
;Kabupaten Konawe;;Anggotoa;123;13;Wowa Nario;Aman
;Kabupaten Konawe;6;Asinua;124;1;Angohi;Aman
;Kabupaten Konawe;;Asinua;125;2;Asinua Jaya;Aman
;Kabupaten Konawe;;Asinua;126;3;Asipako;Aman
;Kabupaten Konawe;;Asinua;127;4;Awua Jaya;Aman
;Kabupaten Konawe;;Asinua;128;5;Awua Sari;Aman
;Kabupaten Konawe;;Asinua;129;6;Lasada;Aman
;Kabupaten Konawe;;Asinua;130;7;Nekudu;Aman
;Kabupaten Konawe;;Asinua;131;8;Ambodiaa;Aman
;Kabupaten Konawe;7;Besulutu;132;1;Amosilu;Waspada
;Kabupaten Konawe;;Besulutu;133;2;Andomesinggo;Aman
;Kabupaten Konawe;;Besulutu;134;3;asunde;Aman
;Kabupaten Konawe;;Besulutu;135;4;Labela;Aman
;Kabupaten Konawe;;Besulutu;136;5;Laloumera;Aman
