;Ambon;;Nusaniwe;20;Urimessing;Aman;Aman;
;Ambon;;Nusaniwe;26;Urimessing;Aman;Aman;
;Ambon;4;Baguala;32;Latta;Aman;Aman;
;Ambon;;Baguala;33;Nania;Aman;Aman;
;Ambon;;Baguala;34;Negeri Lama;Aman;Aman;
;Ambon;;Baguala;35;Waiheru;Aman;Aman;
;Ambon;;Baguala;36;Lateri;Aman;Aman;
;Ambon;;Baguala;37;Halong;Aman;Aman;
;Ambon;;Baguala;38;Passo;Aman;Aman;
;Ambon;;Leitimur Selatan;42;Hutumury;Aman;Aman;
;MALUKU TENGAH;;Teon Nila Serua;64;issu;Aman;Aman;
;MALUKU TENGAH;;Teon Nila Serua;68;Lesluru;Aman;Aman;
;MALUKU TENGAH;;Teon Nila Serua;69;Messa;Aman;Aman;
;MALUKU TENGAH;;Teon Nila Serua;71;Sifluru;Aman;Aman;
;MALUKU TENGAH;;Seram Utara;83;Kanikeh;Aman;Aman;
;MALUKU TENGAH;;Banda;100;Kampung Baru;Aman;Aman;
;MALUKU TENGAH;;Banda;102;Merdeka;Aman;Aman;
;MALUKU TENGAH;;Banda;104;Pulau Hatta;Aman;Aman;
;MALUKU TENGAH;;Tehoru;118;Mosso;Aman;Aman;
;MALUKU TENGAH;;Tehoru;119;Lava;Aman;Aman;
;MALUKU TENGAH;;Saparua;129;Sirisori Amalatu;Aman;Aman;
;MALUKU TENGAH;;Saparua;130;Sirisori Amapatti;Aman;Aman;
;MALUKU TENGAH;;Saparua;137;Pia;Aman;Aman;
;MALUKU TENGAH;;Pulau Haruku;143;Kariuw;Aman;Aman;
;MALUKU TENGAH;;Salahutu;151;Tengah-Tengah;Aman;Aman;
;MALUKU TENGAH;;Leihitu;157;Hitu Lama;Aman;Aman;
;MALUKU TENGAH;;Leihitu;158;Hitu Mesing;Aman;Aman;
;MALUKU TENGAH;;Leihitu;161;Morela;Aman;Aman;
;MALUKU TENGAH;12;Seram Barat;178;Kaibobo;Aman;Aman;
;MALUKU TENGAH;;Seram Barat;179;Eti;Aman;Aman;
;MALUKU TENGAH;;Seram Barat;180;Lumoli;Aman;Aman;
;MALUKU TENGAH;;Seram Barat;181;Morekau;Aman;Aman;
;MALUKU TENGAH;;Seram Barat;182;Neniari;Aman;Aman;
;MALUKU TENGAH;;Seram Barat;183;Piru;Aman;Aman;
;MALUKU TENGAH;;Seram Barat;184;Kawa;Aman;Aman;
;MALUKU TENGAH;14;Leihitu Barat;189;alang;Aman;Aman;
;MALUKU TENGAH;;Telutih;197;lahakaba;Aman;Aman;
;MALUKU TENGAH;;Timur Seti;215;wanosari;Aman;Aman;
;MALUKU TENGAH;17;Timur Kobi;216;kalawira;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;217;kayu besi;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;218;kinaselon;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;219;kolongan;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;220;kolongan 1;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;221;kombi;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;222;lalumpe;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;223;makalisung;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;224;ranowangko II;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;225;rerer;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;226;rerer I;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;227;sawangan;Aman;Aman;
;MALUKU TENGAH;;Timur Kobi;228;tulap;Aman;Aman;
;MALUKU TENGAH;;Saparua Timur;235;sirisori islam;Aman;Aman;
;MALUKU TENGAH;;Saparua Timur;236;sirisori amalatu;Aman;Aman;
;MALUKU TENGAH;;Saparua Timur;238;Ulath;Aman;Aman;
;Seram Bagian Barat;;Huamual Belakang;245;Solea;Aman;Aman;
;Seram Bagian Barat;;Huamual Belakang;248;Buanio Utara;Aman;Aman;
;Seram Bagian Barat;;Huamual Belakang;250;Alang Asaude;Aman;Aman;
;Seram Bagian Barat;;Kairatu Barat;261;Nurue;Aman;Aman;
;Seram Bagian Barat;5;Inamosol;264;Hunitetu;Aman;Aman;
;Seram Bagian Barat;;Amalatu;270;Latuhalat;Aman;Aman;
;Seram Bagian Barat;;Elpaputih;282;Watuy;Aman;Aman;
;Seram Bagian Barat;8;Kepulauan Manipa;283;Buano Hatu Putih;Aman;Aman;
;Seram Bagian Barat;;Kepulauan Manipa;284;Kelang Asude;Aman;Aman;
;Seram Bagian Barat;;Kepulauan Manipa;286;Masawoi;Aman;Aman;
;Seram Bagian Barat;;Taniwel Timur;296;Musihuwei;Aman;Aman;
;Seram Bagian Barat;;Taniwel;299;Lohia sapalewa;Aman;Aman;
;Seram Bagian Barat;;Taniwel;308;Lisabata Barat;Aman;Aman;
;Seram Bagian Barat;;Taniwel;316;Pasinalu;Aman;Aman;
;Seram Bagian Timur;;Bula;339;Emnglas;Aman;Aman;
;Seram Bagian Timur;;Bula Barat;348;Banggoui;Aman;Aman;
;Seram Bagian Timur;;Gorom Timur;373;Miran Kaledar;Aman;Aman;
;Seram Bagian Timur;;Pulau Gorom;412;Rumanama wouw;Aman;Aman;
;Seram Bagian Timur;;Seram Timur;420;Guli Guli;Aman;Aman;
;Seram Bagian Timur;;Seram Timur;424;Kiltai;Aman;Aman;
;Seram Bagian Timur;;Seram Timur;428;Kwawor Mata Ata;Aman;Aman;
;Seram Bagian Timur;;Seram Timur;429;Kwawor Mata Wawa;Aman;Aman;
;Seram Bagian Timur;;Tutuk Tolu;470;Walang Tengah;Aman;Aman;
;Seram Bagian Timur;;Teor;473;Kampung Baru Lautang;Aman;Aman;
;Seram Bagian Timur;;Teor;477;Ker-Ker;Aman;Aman;
;Seram Bagian Timur;;Kilmury;486;Kamarian;Aman;Aman;
;Seram Bagian Timur;;Siritaun Wida Timur;506;Kianlaut;Aman;Aman;
;Seram Bagian Timur;;Siritaun Wida Timur;507;Kwaos;Aman;Aman;
;Seram Bagian Timur;;Siritaun Wida Timur;508;Liantasik;Aman;Aman;
;Seram Bagian Timur;;Teluk waru;515;Kampung Baru Lautang;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil;533;ohoider tawun;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil;534;ohoijang watdeck;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil;536;sidneiohoi;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;541;El Laran;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;544;Pagamas;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;547;Lerohoilim;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;556;Ohoilem;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;559;Ohoililir;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;560;Tamada;Aman;Aman;
;MALUKU TENGGARA;;Kei Besar;562;Debut;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Selatan;568;Ohoirenang;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Selatan;570;Soindat Tamangil;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Selatan;571;Nuhuten tamangil;Aman;Aman;
;MALUKU TENGGARA;;kei Besar Utara Timur;582;Haarohoimel;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil Timur;586;Numefar;Aman;Aman;
;MALUKU TENGGARA;;kei Kecil Timur;587;Nursoin;Aman;Aman;
