;BANGKA TENGAH;;PANGKALANBARU;164; DUL;WASPADA;SIAGA;;;;;
;BANGKA TENGAH;;SUNGAI SELAN;183; ROMADON;SIAGA;SIAGA;;;;;
;BANGKA SELATAN;;TOBOALI;196; TANJUNG KETAPANG;BAHAYA;WASPADA;;;;;
;BANGKA SELATAN;2;AIR GEGAS;199; AIR BARA;SIAGA;SIAGA;;;;;
;BANGKA SELATAN;;AIR GEGAS;200; AIR GEGAS;WASPADA;SIAGA;;;;;
;BANGKA SELATAN;4;PULAU BESAR;218; BATU BETUMPANG;WASPADA;AMAN;;;;;
;BANGKA SELATAN;;PULAU BESAR;219; PAJAR INDAH;SIAGA;AMAN;;;;;
;BANGKA SELATAN;;PULAU BESAR;220; PANCA TUNGGAL;AMAN;AMAN;;;;;
;BANGKA SELATAN;;PULAU BESAR;221; SUKAJAYA;SIAGA;AMAN;;;;;
;BANGKA SELATAN;;PULAU BESAR;222; SUMBER JAYA PERMAI;SIAGA;AMAN;;;;;
;BANGKA SELATAN;;SIMPANG RIMBA;225; JELUTUNG DUA;WASPADA;WASPADA;;;;;
;BANGKA SELATAN;;LEPAR PONGOK;237; TANJUNG LABU;WASPADA;SIAGA;;;;;
;BANGKA SELATAN;;LEPAR PONGOK;238; TANJUNG SANGKAR;WASPADA;AMAN;;;;;
;BANGKA SELATAN;8;KEP. PONGOK;239; CELAGEN;AMAN;AMAN;;;;;
;BANGKA SELATAN;;KEP. PONGOK;240; PONGOK;SIAGA;SIAGA;;;;;
;BANGKA BARAT;;JEBUS;258; TUMBAK KETAR;WASPADA;SIAGA;;;;;
;BANGKA BARAT;;KELAPA;271; TUNGGANG TUIK;AMAN;SIAGA;;;;;;
;BANGKA BARAT;5;SIMPANG TERITIP;282; SIMPANG TERITIP;AMAN;SIAGA;;;;;;
6;BELITUNG;1;TANJUNGPANDAN;305; TANJUNGPANDAN;BAHAYA;WASPADA;;;;;;
;BELITUNG;;TANJUNGPANDAN;306; AIR KETEKOK;BAHAYA;WASPADA;;;;;;
