;Gorontalo;2;Dumbo Raya;2;Bugis;Siaga;Siaga;Siaga
;Gorontalo;3;Dumbo Raya;3;Leato Selatan;Aman;Aman;Aman
;Gorontalo;4;Dumbo Raya;4;Leato Utara;Siaga;Siaga;Siaga
;Gorontalo;5;Dumbo Raya;5;Talumolo;Siaga;Siaga;Siaga
;Gorontalo;6;Dungingi;6;Huangobotu;Siaga;Siaga;Siaga
;Gorontalo;7;Dungingi;7;Libuo;Siaga;Siaga;Siaga
;Gorontalo;8;Dungingi;8;Tomulabutao;Siaga;Siaga;Siaga
;Gorontalo;9;Dungingi;9;Tomulabutao Selatan;Aman;Aman;Aman
;Gorontalo;10;Dungingi;10;Tuladenggi;Siaga;Siaga;Siaga
;Gorontalo;11;Hulonthalangi;11;Tuladenggi;Aman;Aman;Aman
;Gorontalo;12;Hulonthalangi;12;Pohe;Siaga;Siaga;Siaga
;Gorontalo;13;Hulonthalangi;13;Siendeng;Siaga;Siaga;Siaga
;Gorontalo;14;Hulonthalangi;14;Tanjung Kramat;Siaga;Siaga;Siaga
;Gorontalo;15;Hulonthalangi;15;Tenda;Siaga;Siaga;Siaga
;Gorontalo;16;Kota Barat;16;Buladu;Aman;Aman;Aman
;Gorontalo;17;Kota Barat;17;Buliide;Aman;Aman;Aman
;Gorontalo;18;Kota Barat;18;Dembe I;Aman;Aman;Aman
;Gorontalo;19;Kota Barat;19;Lekobalo;Aman;Aman;Aman
;Gorontalo;20;Kota Barat;20;Molosifat;Siaga;Siaga;Siaga
;Gorontalo;21;Kota Barat;21;Pilolodaa;Aman;Aman;Aman
;Gorontalo;22;Kota Barat;22;Tenilo;Aman;Aman;Aman
;Gorontalo;23;Kota Selatan;23;Biawao;Waspada;Siaga;Siaga
;Gorontalo;24;Kota Selatan;24;Biawu;Waspada;Siaga;Siaga
;Gorontalo;25;Kota Selatan;25;Limba B;Siaga;Siaga;Siaga
;Gorontalo;26;Kota Selatan;26;Limba U I;Siaga;Siaga;Siaga
;Gorontalo;27;Kota Selatan;27;Limba U II;Aman;Aman;Aman
;Gorontalo;28;Kota Tengah;28;Dulalowo;Siaga;Siaga;Siaga
;Gorontalo;29;Kota Tengah;29;Dulalowo Timur;Aman;Aman;Aman
;Gorontalo;30;Kota Tengah;30;Liluwo;Aman;Aman;Aman
;Gorontalo;31;Kota Tengah;31;Paguyaman;Siaga;Siaga;Siaga
;Gorontalo;32;Kota Tengah;32;Pulubala;Siaga;Siaga;Siaga
;Gorontalo;33;Kota Tengah;33;Wumialo;Aman;Aman;Aman
;Gorontalo;34;Kota Timur;34;Heledulaa Selatan;Aman;Aman;Aman
;Gorontalo;35;Kota Timur;35;Heledulaa Utara;Siaga;Siaga;Siaga
;Gorontalo;36;Kota Timur;36;Ipilo;Siaga;Siaga;Siaga
;Gorontalo;37;Kota Timur;37;Moodu;Siaga;Waspada;Waspada
;Gorontalo;38;Kota Timur;38;Padebuolo;Siaga;Siaga;Siaga
;Gorontalo;39;Kota Timur;39;Tamalate;Aman;Aman;Aman
;Gorontalo;40;Kota Utara;40;Dembe II;Siaga;Siaga;Siaga
;Gorontalo;41;Kota Utara;41;Dembe Jaya;Aman;Aman;Aman
;Gorontalo;42;Kota Utara;42;Dulomo Selatan;Aman;Aman;Aman
;Gorontalo;43;Kota Utara;43;Dulomo Utara;Siaga;Siaga;Siaga
;Gorontalo;44;Kota Utara;44;Wangkaditi Barat;Aman;Aman;Aman
;Gorontalo;45;Kota Utara;45;Wangkaditi Timur;Siaga;Siaga;Siaga
;Gorontalo;46;Sipatana;46;Bulotadaa Barat;Siaga;Siaga;Siaga
;Gorontalo;47;Sipatana;47;Bulotadaa Timur;Aman;Aman;Aman
;Gorontalo;48;Sipatana;48;Molosipat U;Aman;Aman;Aman
;Gorontalo;49;Sipatana;49;Tanggikiki;Aman;Aman;Aman
;Gorontalo;50;Sipatana;50;Tapa;Siaga;Waspada;Siaga
;Gorontalo;1;Asparaga;51;Bihe;Aman;Aman;Aman
;Gorontalo;2;Asparaga;52;Bontula;Aman;Aman;Aman
;Gorontalo;3;Asparaga;53;Bulili;Aman;Aman;Aman
;Gorontalo;4;Asparaga;54;Karya Baru;Aman;Aman;Aman
;Gorontalo;5;Asparaga;55;Karya Indah;Aman;Aman;Aman
;Gorontalo;6;Asparaga;56;Mohiyolo;Aman;Aman;Aman
;Gorontalo;7;Asparaga;57;Olimohulo;Aman;Aman;Aman
;Gorontalo;8;Asparaga;58;Pangahu;Aman;Aman;Aman
;Gorontalo;9;Asparaga;59;Prima;Aman;Aman;Aman
;Gorontalo;10;Asparaga;60;Tiouhu;Aman;Aman;Aman
;Gorontalo;11;Batudaa;61;Barakati;Aman;Aman;Aman
;Gorontalo;12;Batudaa;62;Bua;Aman;Aman;Aman
;Gorontalo;13;Batudaa;63;Dunggala;Aman;Aman;Aman
;Gorontalo;14;Batudaa;64;Huntu;Aman;Aman;Aman
;Gorontalo;15;Batudaa;65;Ilohungayo;Aman;Aman;Aman
;Gorontalo;16;Batudaa;66;Iluta;Aman;Aman;Aman
;Gorontalo;17;Batudaa;67;Payunga;Aman;Aman;Aman
;Gorontalo;18;Batudaa;68;Pilobuhuta;Aman;Aman;Aman
;Gorontalo;19;Batudaa Pantai;69;Biluhu Timur;Aman;Aman;Aman
;Gorontalo;20;Batudaa Pantai;70;Bongo;Aman;Aman;Aman
;Gorontalo;21;Batudaa Pantai;71;Buhudaa;Aman;Aman;Aman
;Gorontalo;22;Batudaa Pantai;72;Kayubulan;Aman;Aman;Aman
;Gorontalo;23;Batudaa Pantai;73;Lamu;Aman;Aman;Aman
;Gorontalo;24;Batudaa Pantai;74;Langgula;Aman;Aman;Aman
;Gorontalo;25;Batudaa Pantai;75;Lopo;Aman;Aman;Aman
;Gorontalo;26;Batudaa Pantai;76;Olimoo'o;Aman;Aman;Aman
;Gorontalo;27;Batudaa Pantai;77;Tontayuo;Aman;Aman;Aman
;Gorontalo;28;Bilato;78;Totopo;Aman;Aman;Aman
;Gorontalo;29;Bilato;79;Bilato;Aman;Aman;Aman
;Gorontalo;30;Bilato;80;Ilomata;Aman;Aman;Aman
;Gorontalo;31;Bilato;81;Taula'a;Aman;Aman;Aman
;Gorontalo;32;Bilato;82;Juriya;Aman;Aman;Aman
;Gorontalo;33;Bilato;83;Pelehu;Aman;Aman;Aman
;Gorontalo;34;Bilato;84;Bumela;Aman;Aman;Aman
;Gorontalo;35;Bilato;85;Lamahu;Aman;Aman;Aman
;Gorontalo;36;Bilato;86;Musyawarah;Aman;Aman;Aman
;Gorontalo;37;Bilato;87;Suka Damai;Aman;Aman;Aman
;Gorontalo;38;Biluhu;88;Biluhu Barat;Aman;Aman;Aman
;Gorontalo;39;Biluhu;89;Biluhu Tengah;Aman;Aman;Aman
;Gorontalo;40;Biluhu;90;Botu Boluo;Aman;Aman;Aman
;Gorontalo;41;Biluhu;91;Huwongo;Aman;Aman;Aman
