;KUANTAN SINGINGI;;SENTAJO RAYA;227;KAMPUNG BARU SENTAJO;Aman
;KUANTAN SINGINGI;;SENTAJO RAYA;230;PULAU KOMANG;Aman
;KUANTAN SINGINGI;;SENTAJO RAYA;236;GERINGGING BARU;Aman
;KUANTAN SINGINGI;;BENAI;242;TALONTAM;Waspada
;KUANTAN SINGINGI;;BENAI;244;GUNUNG KESIANGAN;Siaga
;KUANTAN SINGINGI;;BENAI;246;PULAU KALIMANTING;Aman
;KUANTAN SINGINGI;;BENAI;248;PULAU INGU;Aman
;KUANTAN SINGINGI;;BENAI;251;PULAU LANCANG;Aman
;KUANTAN SINGINGI;;BENAI;252;PULAU TONGAH;Aman
;KUANTAN SINGINGI;;KUANTAN HILIR;260;PASAR USANG BASERAH;Aman
;KUANTAN SINGINGI;;KUANTAN HILIR;261;PULAU MADINAH;Aman
;KUANTAN SINGINGI;;KUANTAN HILIR;265;PASAR BARU BASERAH;Waspada
;KUANTAN SINGINGI;;KUANTAN HILIR;270;GUNUNG MELINTANG;Aman
;KUANTAN SINGINGI;;KUANTAN HILIR;272;SIMPANG PULAU BERALO;Aman
;KUANTAN SINGINGI;;PANGEAN;276;TELUK PAUH;Aman
;KUANTAN SINGINGI;;PANGEAN;278;PULAU DERAS;Aman
;KUANTAN SINGINGI;;PANGEAN;279;PULAU KUMPAI;Aman
;KUANTAN SINGINGI;;PANGEAN;280;PULAU TENGAH;Aman
;KUANTAN SINGINGI;;PANGEAN;283;PULAU RENGAS;Aman
;KUANTAN SINGINGI;;PANGEAN;289;SUNGAI LANGSAT;Aman
;KUANTAN SINGINGI;13;KUANTAN HILIRSEBERANG;305;TANJUNG PISANG;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;306;PENGALIAN;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;307;KASANG LIMAU SUNDAI;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;308;TERATAK JERING;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;309;KOTO RAJO;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;310;DANAU;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;311;LUMBOK;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;312;PELUKAHAN;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;313;PULAU BARU;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;314;TANJUNG;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;315;SUNGAI SERIK;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;316;RAWANG OGUANG;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;317;PULAU KULUR;Aman
;KUANTAN SINGINGI;;KUANTAN HILIRSEBERANG;318;PULAU BERALO;Aman
;KUANTAN SINGINGI;;CERENTI;320;PULAU JAMBU;Aman
;KUANTAN SINGINGI;;CERENTI;321;PULAU BAYUR;Aman
;KUANTAN SINGINGI;;CERENTI;323;TELUK PAUH;Aman
;KUANTAN SINGINGI;;CERENTI;330;TANJUNG MEDAN;Aman
;KUANTAN SINGINGI;15;INUMAN;332;PULAU PANJANG HULU;Aman
;KUANTAN SINGINGI;;INUMAN;333;PULAU PANJANG HILIR;Aman
;KUANTAN SINGINGI;;INUMAN;335;BANJAR NANTIGO;Aman
;KUANTAN SINGINGI;;INUMAN;337;PULAU SIPAN;Aman
;KUANTAN SINGINGI;;INUMAN;341;PULAU BUSUK JAYA;Aman
;INDRAGIRI HULU;;PERANAP;348;BATURIJAL HULU;Aman
;INDRAGIRI HULU;;PERANAP;349;BATURIJAL HILIR;Aman
;INDRAGIRI HULU;;PERANAP;357;BATURIJAL BARAT;Aman
;INDRAGIRI HULU;3;SEBERIDA;368;BUKIT MERANTI;Aman
;INDRAGIRI HULU;;SEBERIDA;369;PAYA RUMBAI;Aman
;INDRAGIRI HULU;;SEBERIDA;370;KELESA;Aman
;INDRAGIRI HULU;;SEBERIDA;371;BELIGAN;Aman
;INDRAGIRI HULU;;SEBERIDA;372;SERESAM;Aman
;INDRAGIRI HULU;;SEBERIDA;373;PETALA BUMI;Aman
;INDRAGIRI HULU;;SEBERIDA;374;TITIAN RESAK;Aman
;INDRAGIRI HULU;;SEBERIDA;375;SIBABAT;Aman
;INDRAGIRI HULU;;SEBERIDA;376;PANGKALAN KASAI;Bahaya
;INDRAGIRI HULU;;SEBERIDA;377;BULUH RAMPAI;Aman
;INDRAGIRI HULU;;SEBERIDA;378;BANDAR PADANG;Aman
;INDRAGIRI HULU;;BATANG CENAKU;384;PUNTIANAI;Aman
;INDRAGIRI HULU;5;BATANG GANSAL;399;SIAMBUL;Aman
;INDRAGIRI HULU;;BATANG GANSAL;400;RANTAU LANGSAT;Aman
;INDRAGIRI HULU;;BATANG GANSAL;401;SUNGAI AKAR;Aman
;INDRAGIRI HULU;;BATANG GANSAL;402;USUL;Aman
;INDRAGIRI HULU;;BATANG GANSAL;403;SEBERIDA;Aman
;INDRAGIRI HULU;;BATANG GANSAL;404;TALANG LAKAT;Aman
;INDRAGIRI HULU;;BATANG GANSAL;405;BELIMBING;Aman
;INDRAGIRI HULU;;BATANG GANSAL;406;RINGIN;Aman
;INDRAGIRI HULU;;BATANG GANSAL;407;PANYAGUAN;Aman
;INDRAGIRI HULU;;BATANG GANSAL;408;DANAU RAMBAI;Bahaya
;INDRAGIRI HULU;;RAKIT KULIM;439;TALANG TUJUH BUAH TANGGA;Aman
;INDRAGIRI HULU;;RAKIT KULIM;443;TALANG SUNGAI EKOK;Aman
;INDRAGIRI HULU;;PASIR PENYU;447;CANDIREJO;Siaga
;INDRAGIRI HULU;;PASIR PENYU;453;JATIREJO;Aman
;INDRAGIRI HULU;;LIRIK;467;LAMBANG SARI I; II; III;Aman
;INDRAGIRI HULU;11;LUBUK BATU JAYA;487;SEI BERAS-BERAS;Aman
;INDRAGIRI HULU;;LUBUK BATU JAYA;488;SEI BEBERAS HILIR;Aman
;INDRAGIRI HULU;;RENGAT;523;KAMPUNG BESAR SEBERANG;Aman
5;INDRAGIRI HILIR;1;KERITANG;540;KOTABARU RETEH;Aman
;INDRAGIRI HILIR;;KERITANG;544;KEMBANG MEKAR SARI;Aman
;INDRAGIRI HILIR;;KERITANG;545;KOTABARU SEBERIDA;Aman
;INDRAGIRI HILIR;;KERITANG;549;TELUK KELASA;Aman
;INDRAGIRI HILIR;;RETEH;570;PULAU KECIL;Aman
;INDRAGIRI HILIR;;RETEH;572;SUNGAI UNDAN;Aman
;INDRAGIRI HILIR;;RETEH;573;SUNGAI TERAB;Aman
;INDRAGIRI HILIR;;RETEH;577;SUNGAI ASAM;Aman
;INDRAGIRI HILIR;;RETEH;578;PULAU RUKU;Aman
;INDRAGIRI HILIR;;RETEH;581;TANJUNG LABUH;Aman
;INDRAGIRI HILIR;;RETEH;582;SUNGAI MAHANG;Aman
;INDRAGIRI HILIR;;ENOK;593;SUNGAI RUKAM;Aman
